post_id,datetime_raw,privacy,text,comment_count,comments_json,comments_joined
1,February 9 at 10 pm,Public,"Don't be afraid to reboot your life and start afresh. Make the Almighty your priority or you'll find yourself going back to square one in no time. Never leave Him out of your equation if you want success, both in this world & the next.",7,"[""Allah first-everything else falls into place."", ""May allah accept all our secrets prayers ameen"", ""In Shaa Allahu Rabbi"", ""Yes indeed"", ""Alhumdulillah"", ""The time I rebooted myself within was relieved"", ""Yes truely""]",Allah first-everything else falls into place. || May allah accept all our secrets prayers ameen || In Shaa Allahu Rabbi || Yes indeed || Alhumdulillah || The time I rebooted myself within was relieved || Yes truely
2,Feb 10 at 11 am,Public,সত্যের জয় হবেই ন্যায়ের জয় হবেই,5,"[""Best of luck"", ""দোয়া"", ""All the best"", ""ইন শা আল্লাহ"", ""ইনশাআল্লাহ ভাই পাশ করবেন""]",Best of luck || দোয়া || All the best || ইন শা আল্লাহ || ইনশাআল্লাহ ভাই পাশ করবেন
3,Feb 7 at 11:14 am,Public,"Almighty. Keep us away from overthinking and replaying failed scenarios in our minds. With Ramadan coming up, help us quit bad habits and keep our focus on that which pleases You. Aameen.",6,"[""May Allah Almighty accept all us"", ""amen"", ""Ameen alhamdulillh"", ""ALLAHUMA AMEEN"", ""Amin ya rabbul alamin"", ""Amen yarrabi""]",May Allah Almighty accept all us || amen || Ameen alhamdulillh || ALLAHUMA AMEEN || Amin ya rabbul alamin || Amen yarrabi
4,Feb 2 at 11:38 am,Public,"Society may not tolerate second chances. People can be unforgiving when you make mistakes. But the Almighty is ever ready to give you a fresh start when you turn back to Him. Healing, forgiveness and peace. That's His Promise. Seek Him for a new beginning.",6,"[""Alhamdulillah"", ""Inshallah Allah will forgive us all... Ameen"", ""Agreed"", ""Fee amanillah"", ""Absolutely right"", ""Truee""]",Alhamdulillah || Inshallah Allah will forgive us all... Ameen || Agreed || Fee amanillah || Absolutely right || Truee
5,Jan 31 at 11:25 am,Public,"‪Will you help someone if you know you'll get nothing in return? That's the real test of sincerity. The truth is anyone can help when there's something to gain in return; but to help when there's nothing there for you, shows true love and a beautiful heart.",6,"[""The real test is being kind to unkind people"", ""Even if U say I'll get nothing"", ""I don't have myself"", ""That's totally me.."", ""Totally agree!!!"", ""Yes absolutely!""]",The real test is being kind to unkind people || Even if U say I'll get nothing || I don't have myself || That's totally me.. || Totally agree!!! || Yes absolutely!
6,Jan 29 at 11:15 pm,Public,"Almighty. We thank You for every blessing. Hidden and apparent. You know our pain, disappointment sadness, grief and loneliness. You're All-Knowing and All-Seeing. Ease our struggles and comfort us. We trust Your Plan though we're unaware what's to come. Aameen.",6,"[""Amin Ya'Rabbal Alamin"", ""Amen"", ""আমিন।"", ""Aameen Sunma Aameen"", ""Alhamdulilah and Ameena Ya Rab"", ""Allahumma aameen""]",Amin Ya'Rabbal Alamin || Amen || আমিন। || Aameen Sunma Aameen || Alhamdulilah and Ameena Ya Rab || Allahumma aameen
7,Jan 27 at 11:55 pm,Public,"The Almighty will test your character. Are you paying lip service to your faith? He will also send challenges in many forms. Your wealth, your children, people you mix with etc. He will look at your heart. If you're sincere, you'll succeed.",6,"[""What does \""paying lip service\"" mean? Doing dhikr?"", ""Does sadness because these twsts against sincere ?"", ""Insha Allah"", ""Amin"", ""I'm prepared to get"", ""Indeed Alhamdhulillah Ameen...""]","What does ""paying lip service"" mean? Doing dhikr? || Does sadness because these twsts against sincere ? || Insha Allah || Amin || I'm prepared to get || Indeed Alhamdhulillah Ameen..."
8,Jan 26 at 7:28 pm,Public,You'll encounter difficult people in life. It's always about them. They'll drain your energy. They make it their job to see what's wrong rather than what's right. Be kind. Say a prayer for them.,6,"[""Actually these people are also test for you in this world"", ""After praying for them"", ""What if it's your own mother"", ""I always watch your videos and learn a lot."", ""Allah tests us all in different ways."", ""It happens now day""]",Actually these people are also test for you in this world || After praying for them || What if it's your own mother || I always watch your videos and learn a lot. || Allah tests us all in different ways. || It happens now day
9,Jan 23  at 7:55 am,Public,"Almighty. Grant us comfort amid our hardships and challenges. Give us the strength to weather the storms passing by. We know You're on our side. Although we are overwhelmed at times, we are not in despair. Make us content and humble as we lay our full trust in You.",6,"[""Sometimes I feel you have fit chip in me sheikh. How do you know what I feel?"", ""Allahumma Ameen"", ""Ameen ya Allah"", ""Ameen"", ""God bless you and all Muslim umah . Aamin"", ""Ameen yallahbhi ameen""]",Sometimes I feel you have fit chip in me sheikh. How do you know what I feel? || Allahumma Ameen || Ameen ya Allah || Ameen || God bless you and all Muslim umah . Aamin || Ameen yallahbhi ameen
10,Jan 20 at 05:55 am,Public,"When you believe, it doesn't mean the road ahead is smooth all the way. Far from it. Expect the Almighty to test you if you're true to your word. Remember, faith is not the belief that He will do what you want, it is the confidence in knowing that He will do what's best for you.",6,"[""This is as simple as \""Faith"", ""May Allah grant us true imaan that trusts His wisdom in every ease and hardship."", ""Well said"", ""Alhamdulillah..."", ""Allahuma ameen"", ""Faith over fear.""]","This is as simple as ""Faith || May Allah grant us true imaan that trusts His wisdom in every ease and hardship. || Well said || Alhamdulillah... || Allahuma ameen || Faith over fear."
11,Jan 16 at 11:55 pm,Public,"Today's Event in The Philippines brought together 20,000+ attendees. Subhanallah",6,"[""Shukran from visiting my beloved country"", ""SubhanAllah I wish I'm there"", ""Alhamdulillah"", ""Maashaallah"", ""Ma Sha Allah you are doing great"", ""SubhanaAllah.""]",Shukran from visiting my beloved country || SubhanAllah I wish I'm there || Alhamdulillah || Maashaallah || Ma Sha Allah you are doing great || SubhanaAllah.
12,Jan 15 at 9:55 pm,Public,"We're in a sad place now. There are people with strong feelings of depression, hopelessness, anger, etc. Almighty. Guide us. Help us. Put hope in our hearts . May we never forget that You can turn everything around in the blink of an eye. We trust You.",6,"[""Aameen"", ""allahumma ameen"", ""Allah is sufficient for us he will surely make a way out of every situation"", ""Sin pollutes soul. May Allah refine our soul for your prayers"", ""prayers"", ""Ameen Yaa Rabbi""]",Aameen || allahumma ameen || Allah is sufficient for us he will surely make a way out of every situation || Sin pollutes soul. May Allah refine our soul for your prayers || prayers || Ameen Yaa Rabbi
13,Jan 13  at 12:45 pm,Public,"People will only drive you crazy if you allow them. So don't let your anger spin out of control. If someone is irritating you, recognise those feelings and then let them go without saying much or getting into dispute. You don't need to respond to everything.",6,"[""Yeah true"", ""Absolutely true!"", ""Well said quotes"", ""Preach tawheed and forbid evil"", ""You don't need to respond to everything"", ""Cuz""]",Yeah true || Absolutely true! || Well said quotes || Preach tawheed and forbid evil || You don't need to respond to everything || Cuz
14,Jan 13 at 11:35 am,Public,"People will only drive you crazy if you allow them. So don't let your anger spin out of control. If someone is irritating you, recognise those feelings and then let them go without saying much or getting into dispute. You don't need to respond to everything.",6,"[""You get that right Sheik."", ""We need better self-control of our emotions."", ""You don't need to respond to everything"", ""Allah love those who remain patience"", ""Be more proactive than reactive"", ""Some people likes Poking""]",You get that right Sheik. || We need better self-control of our emotions. || You don't need to respond to everything || Allah love those who remain patience || Be more proactive than reactive || Some people likes Poking
15,Jan 8 at 11:55 am,Public,Nobody will truly understand what you're going through except the One who made you. He's the only One who knows your true circumstances and is always available when you need Him. He will heal you and make you whole again.,6,"[""Aminn.. Such a strong motivation from Mufti Menk."", ""Alhamdulillah"", ""Very true..Ameen.."", ""indeed"", ""Aminn.. Such a strong motivation from Mufti Menk."", ""Ameen""]",Aminn.. Such a strong motivation from Mufti Menk. || Alhamdulillah || Very true..Ameen.. || indeed || Aminn.. Such a strong motivation from Mufti Menk. || Ameen
16,Jan 6,Public,Learn to rejoice and celebrate the victories of others. It will open doors of goodness in your own life in return. Be gracious enough to do that even for your enemy. Such positive actions will lift you especially during your worst days.,6,"[""Alhamdulillah"", ""Walahi it's true. Allah sees through the heart."", ""Alhamdhulillah"", ""Indeed Sir. In syaa Allah"", ""Well said..thank you."", ""Thanks for giving us advice""]",Alhamdulillah || Walahi it's true. Allah sees through the heart. || Alhamdhulillah || Indeed Sir. In syaa Allah || Well said..thank you. || Thanks for giving us advice
17,Jan 5,Public,Almighty. Keep reminding us that You can heal us in a moment. You can forgive in an instant. You can make the impossible a reality. May we always be grateful for everything You've bestowed on us. Aameen.,6,"[""Ameen. Allah u Akbar!"", ""Aameen Ya Alllah"", ""Ameen Yarabi"", ""Ameeen."", ""Allahu Akbar!!!"", ""Alhamdulillah""]",Ameen. Allah u Akbar! || Aameen Ya Alllah || Ameen Yarabi || Ameeen. || Allahu Akbar!!! || Alhamdulillah
18,Jan 1,Public,"<4Get out of your comfort zone if you want positive change. Just talking about it isn't going to make a difference. Change can be daunting; in fact, anything to do with the unknown has that effect. Give it your best shot. Trust the Almighty in your journey.<",6,"[""In Sha Allah"", ""Inshallah I will try and apply myself"", ""Amen"", ""May Allah help us make reasonable decision and changes to our life."", ""True but what if we don't know what to do?"", ""Comfort... The worst addiction""]",In Sha Allah || Inshallah I will try and apply myself || Amen || May Allah help us make reasonable decision and changes to our life. || True but what if we don't know what to do? || Comfort... The worst addiction
19,Dec 31 2025,Public,"Correct others in a tasteful manner that they don't get upset, defensive or even aggressive. Do it gently with kindness. Sometimes when you give advice, people become worse off than they were before because of the way you did it.",6,"[""Control your anger too"", ""I always tell people your approach is so important"", ""The easiest way to remain safe is"", ""The easiest way to remain safe is"", ""<Most people don't understand this .<"", ""It will come only with practice""]",Control your anger too || I always tell people your approach is so important || The easiest way to remain safe is || The easiest way to remain safe is || <Most people don't understand this .< || It will come only with practice
20,Dec 30 2025,Public,"Don't waste time in group chats and online chatter. Many spend hours each day on such frivolous activity. Some even do it at the expense of the link with their Creator. Instead, get busy building a connection with the Almighty. Serve humanity. Life's way too short to waste.",5,"[""Absolutely the trust."", ""Insha Allah"", ""Alhamdulillah"", ""<Absolutely correct sheikh<"", ""Absolutely""]",Absolutely the trust. || Insha Allah || Alhamdulillah || <Absolutely correct sheikh< || Absolutely
21,Dec 17 2025,Private,The breeze felt like u,5,"[""Golden hour suits u"", ""Bondhu"", ""Nice building all of them"", ""See you soon"", ""See you""]",Golden hour suits u || Bondhu || Nice building all of them || See you soon || See you
22,Oct 24 2025,Friend,You know nothing John Snow,5,"[""Handsome"", ""Good looking"", ""Hot"", ""Fake"", ""Pagol""]",Handsome || Good looking || Hot || Fake || Pagol
23,Dec 29 2025,Public,মাছ সমাচার,5,"[""Mach khaoyar Ruchi asche ki?"", ""A gentle reminder: PL chole"", ""Age fish khaite shikho pio tarpor fish er picture upload dio"", ""abar jau try diya asho"", ""Normal gula to vallage na... Egula try dewa uchit cilo""]",Mach khaoyar Ruchi asche ki? || A gentle reminder: PL chole || Age fish khaite shikho pio tarpor fish er picture upload dio || abar jau try diya asho || Normal gula to vallage na... Egula try dewa uchit cilo
24,Dec 22 2025,Public,We matched - me and the sea,5,"[""মাশাল্লাহ"", ""Looks like a sea pearl!"", ""Excellent"", ""কোথায় তুমি"", ""Ma sha Allah""]",মাশাল্লাহ || Looks like a sea pearl! || Excellent || কোথায় তুমি || Ma sha Allah
25,Oct 26 2025,Friend,My kind of people,5,"[""Sothe"", ""Dhong"", ""What about chaai?"", ""Mine too"", ""Me also""]",Sothe || Dhong || What about chaai? || Mine too || Me also
